"Date"|"Flight count"|"Flight number"|"Tail number"|"Operator"|"Owner"|"Previous Airport"|"Next Airport"|"From NWDC - Boarded Plane"|"From Plane - Boarded Bus to NWDC"|"From NWDC - Boarded Plane"|"From Plane - Boarded Bus to NWDC"|"Snoq Pass"|"White Pass"|"# Buses"|"Observations"|"Link"
"Tuesday, June 16, 2020"|68|"SWQ3503"|"N531AU"|"iAero Airways "|"""Swiftflight"""|"KIWA"|"KLAS"|16|0|||||1|"15 men and 1 woman off the bus"|"https://flightaware.com/live/flight/SWQ3503/history/20200616/1400Z/KIWA/KYKM"
"Tuesday, June 23, 2020"|69|"SWQ3501"|"N803TJ"|"iAero Airways "|"""Swiftflight"""|"KIWA"|"KLAS"|21|1|||||2|"21 men off the bus and 1 man off the plane"|"https://flightaware.com/live/flight/SWQ3501/history/20200623/1400Z/KIWA/KYKM"
"Tuesday, June 30, 2020"|70|"SWQ3501"|"N531AU"|"iAero Airways "|"""Swiftflight"""|"KIWA"|"KLAS"|26|1|||||2|"25 men and 1 woman off the bus and one man off the plane"|"https://flightaware.com/live/flight/SWQ3501/history/20200630/1400Z/KIWA/KYKM"
"Tuesday, July 7, 2020"|71|"SWQ3505"|"N531AU"|"iAero Airways "|"""Swiftflight"""|"KIWA"|"KLAS"|21|0|||||2|"20 men and 1 woman get off the buses and board the plane"|"https://flightaware.com/live/flight/SWQ3505/history/20200707/"
"Monday, July 13, 2020"|72|"SWQ3503"|"N531AU"|"iAero Airways "|"""Swiftflight"""|"KLAS"|"KELP"|13|0|||||2|"1 van w/1 woman, 1 small bus with 12 men - more agents/crew members than passengers!"|"https://flightaware.com/live/flight/SWQ3503/history/20200713/1930Z/KYKM/KELP"
"Monday, July 20, 2020"|73|"SWQ3501"|"N531AU"|"iAero Airways "|"""Swiftflight"""|"KLAS"|"KELP"|20|1|||||2|"17 men and 3 women got off the buses and one man got off the plane."|"https://flightaware.com/live/flight/SWQ3502/history/20200720/1610Z/KLAS/KYKM"
"Monday, July 27, 2020"|74|"SWQ3502"|"N531AU"|"iAero Airways "|"""Swiftflight"""|"KLAS"|"KELP"|31|0|||||2|"31 men got off the bus and boarded the plane"|"https://flightaware.com/live/flight/SWQ3502/history/20200727/klas/kykm"
"Monday, August 3, 2020"|75|"SWQ3502"|"N627SW"|"iAero Airways "|"""Swiftflight"""|"KLAS"|"KELP"|24|0|||||2|"21 men and 3 women got off the buses and boarded the plane."|
"Monday, August 10, 2020"|76|"SWQ3502"|"N625SW"|"iAero Airways "|"""Swiftflight"""|"KLAS"|"KELP"|45|0|||||2|"42 men and 3 women off bus - MUCH quicker than usual, landing to door close just 30 minutes."|"https://flightaware.com/live/flight/SWQ3502/history/20200810/1610Z/KLAS/KYKM"
"Tuesday, August 18, 2020"|77|"SWQ3505"|"N531AU"|"iAero Airways "|"""Swiftflight"""|"KLAS"|"KELP"|23|2|||||2|"22 men and 1 woman off the buses. 2 men deplaned and boarded the buses"|"https://flightaware.com/live/flight/SWQ3505/history/20200818/1610Z/KLAS/KYKM"
"Week of Aug 24th - NO FLIGHT - there was a flight from Phoenix to Las Vegas to El Paso, as usual ... it just didn't fly to Yakima."|||||||||||||||"Runway Repair"|"https://www.yakimaherald.com/news/local/yakima-airport-to-reopen-main-runway-saturday-evening/article_c5259b14-6ac0-5465-8c60-5a8e020b561f.html"
"Tuesday, September 1, 2020"|78|"SWQ3508"|"N624XA"|"iAero Airways "|"""Swiftflight"""|"KLAS"|"KELP"|46|2|||||2|"42 men and 4 women off the buses, 2 women off the plane. Gate added to the side of the building, so we can no longer observe from behind the building, only the parking lot."|"https://flightaware.com/live/flight/SWQ3506/history/20200901/1722Z/KLAS/KYKM"
"Tuesday, September 8, 2020"|79|"SWQ3505"|"N531AU"|"iAero Airways "|"""Swiftflight"""|"KLAS"|"KELP"|27|0|||||2|"6 women and 21 men off the bus."|"https://flightaware.com/live/flight/SWQ3505/history/20200908/1610Z/KLAS/KYKM"
"Tuesday, September 15, 2020"|80|"SWQ2505"|"N531AU"|"iAero Airways "|"""Swiftflight"""|"KLAS"|"KELP"|36|0|||||2|"SMOKY! - 31 men and 5 women off the bus.  Two men had to be helped up the steps with agents holding both their arms to support them. One wheelchair and one walker were loaded on the plane along with the baggage."|"https://flightaware.com/live/flight/SWQ2505/history/20200915/1610Z/KLAS/KYKM"
"Tuesday, September 22, 2020"|81|"SWQ3506"|"N531AU"|"iAero Airways "|"""Swiftflight"""|"KLAS"|"KELP"|21|1|||||2|"21 men off the bus, 1 man off the plane. Used original tarmac near fire station because of fire fighting vehicles at McCormick"|"https://flightaware.com/live/flight/SWQ3506/history/20200922/1610Z/KLAS/KYKM"
"Tuesday, September 29, 2020"|82|"SWQ3505"|"N285XA"|"iAero Airways "|"""Swiftflight"""|"KLAS"|"KELP"|0|0|||||0|"Plane landed at 11:21 ... and none of the ""ground crew"" agents got off the plane (which is unusual). No buses ever showed up. The plane closed up and left at 11:50."|"https://flightaware.com/live/flight/SWQ3505/history/20200929/1610Z/KLAS/KYKM"
"Tuesday, October 6, 2020"|83|"SWQ3505"|"N440US"|"iAero Airways "|"""Swiftflight"""|"KLAS"|"KELP"|28|0|||||2|"25 men and 3 women got off the buses and boarded the plane."|"https://flightaware.com/live/flight/SWQ3505/history/20201006/1610Z/KLAS/KYKM"
"Tuesday, October 13, 2020"|84|"SWQ3505"|"N285XA"|"iAero Airways "|"""Swiftflight"""|"KLAS"|"KELP"|32|0|||||2|"30 men and 2 women boarded the plane"|"https://flightaware.com/live/flight/SWQ3505/history/20201013/1610Z/KLAS/KYKM"
"Tuesday, October 20, 2020"|85|"SWQ3514"|"N285XA"|"iAero Airways "|"""Swiftflight"""|"KLAS"|"KELP"|27|0|||||2|"26 men and one woman boarded the plane"|"https://flightaware.com/live/flight/SWQ3514/history/20201020/1610Z/KLAS/KYKM"
"Tuesday, October 27, 2020"|86|"SWQ3505"|"N629SW"|"iAero Airways "|"""Swiftflight"""|"KLAS"|"KELP"|21|0|||||2|"21 men boarded the plane."|"https://flightaware.com/live/flight/SWQ3505/history/20201027/1603Z/KLAS/KYKM"
"Tuesday, November 3, 2020"|87|"SWQ3505"|"N629SW"|"iAero Airways "|"""Swiftflight"""|"KLAS"|"KELP"|25|0|||||2|"21 men and 4 women boarded the plane"|"https://flightaware.com/live/flight/SWQ3505/history/20201103/1644Z/KLAS/KYKM"
"Tuesday, November 10, 2020"|"NO flight to Yakima today - the flight only flew from Phoenix to Las Vegas to El Paso"|||||||||||"Traction Tires Required,"|"Traction Tires Advised"|||
"Tuesday, November 17, 2020"|88|"SWQ3505"|"N285XA"|"iAero Airways "|"""Swiftflight"""|"KLAS"|"KELP"|29|0|"ICE Bearded"||"No restrictions"|"No restrictions"|2|"23 men and 6 women boarded the plane"|"https://flightaware.com/live/flight/SWQ3505/history/20201117/1710Z/KLAS/KYKM"
"Tuesday, November 24, 2020"|89|"SWQ3505"|"N285XA"|"iAero Airways "|"""Swiftflight"""|"KLAS"|"KELP"|||||"No restrictions"|"No restrictions"||"17 men off the buses .. or 16 men and 1 woman, couldn't tell for sure."|"https://flightaware.com/live/flight/SWQ3505/history/20201124/1659Z/KLAS/KYKM"
"Tuesday, December 1, 2020"|90|"SWQ3505"|"N440US"|"iAero Airways "|"""Swiftflight"""|"KLAS"|"KELP"|18|0|||"No restrictions"|"No restrictions"|2|"18 men - view really severely blocked"|"https://flightaware.com/live/flight/SWQ3505/history/20201201/1645Z/KLAS/KYKM"
"Tuesday, December 8, 2020"|91|"SWQ3505"|"N440US"|"iAero Airways "|"""Swiftflight"""|"KLAS"|"KELP"|14|0|||"No restrictions"|"No restrictions"|2|"14 men boarded the plane."|"https://flightaware.com/live/flight/SWQ3505/history/20201208/1710Z/KLAS/KYKM"
"Tuesday, December 15, 2020"|92|"SWQ3505"|"N440US"|"iAero Airways "|"""Swiftflight"""|"KLAS"|"KELP"|13|2|||"No restrictions"|"No restrictions"|2|"Today's flight had 12 men and 1 woman board the bus and 2 men got off the plane and boarded the bus to Tacoma."|"https://flightaware.com/live/flight/SWQ3505/history/20201215/1713Z/KLAS/KYKM"
"Tuesday, December 22, 2020"|||"flight CANCELLED - holidays?"|||||||||||||
"Tuesday, December 29, 2020"|93|"SWQ3505"|"N629SW"|"iAero Airways "|"""Swiftflight"""|"KLAS"|"KELP"|15|0|||"No restrictions"|"No restrictions"|2|"15 men got off the buses and boarded the plane"|"https://flightaware.com/live/flight/SWQ3505/history/20201229/1710Z/KLAS/KYKM"
"Tuesday, January 5, 2021"|||"flight Scheduled, but CANCELLED a few days later - holidays?"|||||||||||||
"Tuesday, January 12, 2021"|94|"SWQ3505"|"N440US"|"iAero Airways "|"""Swiftflight"""|"KLAS"|"KELP"|15|0|||"Traction Tires Advised"|"Traction Tires Advised"|2|"15 men got off the buses and boarded the plane. Maru let us know that 5 women were supposed to be deported, but one had a positivie COVID test, so they weren't deported."|"https://flightaware.com/live/flight/SWQ3505/history/20210112/1722Z/KLAS/KYKM"
"Tuesday, January 19, 2021"|95|"SWQ3519"|"N420US"|"iAero Airways "|"""Swiftflight"""|"KLAS"|"KELP"|11|0|||"No restrictions"|"No restrictions"|2|"11 men got off the bus and boarded the plane"|"https://flightaware.com/live/flight/SWQ3519/history/20210119/KLAS/KYKM"
"Tuesday, January 26, 2021"|||"flight CANCELLED - Biden Moratorium"|||||||||||||
"Tuesday, February 2, 2021"|96|"SWQ3517"|"N420US"|"iAero Airways "|"""Swiftflight"""|"KLAS"|"KELP"|23|0|||"No restrictions"|"Traction Tires Advised,"|2|"15 men and 8 women boarded the plane."|"https://flightaware.com/live/flight/SWQ3517/history/20210202/KLAS/KYKM"
"Tuesday, February 9, 2021"|97|"SWQ3504"|"N917XA"|"iAero Airways "|"""Swiftflight"""|"KLAS"|"KELP"|7|0|||"No restrictions"|"No restrictions"|2|"7 men boarded the plane to El Paso."|"https://flightaware.com/live/flight/SWQ3505/history/20210209/1710Z/KLAS/KYKM"
"Tuesday, February 16, 2021"|||"flight cancelled - Snoqualmie Pass Closed"|||||||||"Pass Closed"|"Traction Tires Advised,"|||
"Tuesday, February 23, 2021"|||"flight cancelled - Snoqualmie Pass Closed"|||||||||"Heavy snow on the pass"||||
"Tuesday, March 2, 2021"|98|"SWQ3505"|"N625SW"|"iAero Airways "|"""Swiftflight"""|"KLAS"|"KELP"|18|0|||"No restrictions"|"No restrictions"|2|"18 men boarded the plane"|"https://flightaware.com/live/flight/SWQ3505/history/20210302/1651Z/KLAS/KYKM"
"Tuesday, March 9, 2021"|99|"SWQ3504"|"N420US"|"iAero Airways "|"""Swiftflight"""|"KIWA"|"KELP"|16|0|||"No restrictions"|"No restrictions"|2|"14 men and 2 women boarded the plane. Earlier schedule - arrival 9:40. Flight came direct from Phoenix and didn't stop in Las Vegas."|"https://flightaware.com/live/flight/SWQ3504/history/20210309/1503Z/KIWA/KYKM"
"Tuesday, March 16, 2021"|||"flight CANCELLED - ""No stop in Yakima"""|||||||||||||
"Tuesday, March 23, 2021"|100|"SWQ3502"|"N418US"|"iAero Airways "|"""Swiftflight"""|"KLAS"|"KELP"|18|0|||"No restrictions"|"No restrictions"|2|"16 men and 2 women got off 2 small buses and boarded the plane"|"https://flightaware.com/live/flight/SWQ3502/history/20210323/1610Z/KLAS/KYKM"
"Tuesday, March 30, 2021"|||"flight CANCELLED - ""No stop in Yakima"""|||||||||||||
"Tuesday, April 6, 2021"|101|"SWQ3623"|"N629SW"|"iAero Airways "|"""Swiftflight"""|"KLAS"|"KELP"|14|1|||||2|"14 men and 1 (maybe 2) women boarded the plane"|"https://www.radarbox.com/data/flights/WQ3624"
"Tuesday, April 13, 2021"|102|"SWQ3502"|"N418US"|"iAero Airways "|"""Swiftflight"""|"KLAS"|"KSAN"|14|0|||||2|"14 men boarded the plane to San Diego - first outbound flight to San Diego"|"https://flightaware.com/live/flight/SWQ3502/history/20210413/1610Z/KLAS/KYKM"
"Tuesday, April 20, 2021"|||"flight CANCELLED - ""No stop in Yakima"""|||||||||||||
"Tuesday, April 27, 2021"|103|"SWQ3504"|"N627SW"|"iAero Airways "|"""Swiftflight"""|"KIWA"|"KIWA"|18|1|||||2|"1 man off the plane, 17 men and 1 woman off the bus"|"https://flightaware.com/live/flight/SWQ3504/history/20210427/1545Z/KIWA/KYKM"
"Tuesday, April 27, 2021"|104|"SWQ3517"|"N418US"|"iAero Airways "|"""Swiftflight"""|"KDEN"|"KIWA"|0|64|||||2|"64 men deplaned and boarded the buses - GEO Group bus staff put on N-95 masks and blue plastic covers before accepting the detainees"|"https://flightaware.com/live/flight/SWQ3517"
"Tuesday, May 4, 2021"|105|"SWQ3504"|"N627SW"|"iAero Airways "|"""Swiftflight"""|"KIWA"|"KSAN"|11|0|||||2|"9 men and 2 women getting off the buses and boarding the plane"|"https://flightaware.com/live/flight/SWQ3504/history/20210504/1453Z/KIWA/KYKM"
"Tuesday, May 18, 2021"|106|"SWQ3502"|"N418US"|"iAero Airways "|"""Swiftflight"""|"KLAS"|"KSAN"|11|0|||||2|"10 men and 1 woman boarded the plane to San Diego"|"https://flightaware.com/live/flight/SWQ3502/history/20210518/1620Z/KLAS/KYKM"
"Tuesday, June 1, 2021"|107|"SWQ3502"|"N803TJ"|"iAero Airways "|"""Swiftflight"""|"KLAS"|"KSAN"|29|0|||||2|"27 men and 2 women boarded the plane to San Diego"|"https://flightaware.com/live/flight/SWQ3502/history/20210601/1601Z/KLAS/KYKM"
"Tuesday, June 8, 2021"|108|"SWQ3502"|"N430XA"|"iAero Airways "|"""Swiftflight"""|"KLAS"|"KELP"|8|0|||||2|"1 woman and 7 men off the bus"|"https://flightaware.com/live/flight/SWQ3502/history/20210608/1610Z/KLAS/KYKM"
"Tuesday, June 8, 2021"|109|"SWQ3608"|"N629SW"|"iAero Airways "|"""Swiftflight"""|"KSAT"|"KSAT"|0|77|||||3|"77 men off the plane"|"https://www.radarbox.com/data/flights/WQ3608"
"Wednesday, June 9, 2021"|110|"SWQ3621"|"N430XA"|"iAero Airways "|"""Swiftflight"""|"KSAT"|"KIWA"|0|79|||||2|"79 women off the plane"|"https://flightaware.com/live/flight/SWQ3621/history/20210609/1740Z/KSAT/KYKM"
"Friday, June 11, 2021"|111|"SWQ3624"|"N430XA"|"iAero Airways "|"""Swiftflight"""|"IAH"|"KIWA"|0|106|||||3|"106 men got off the plane"|"https://flightaware.com/live/flight/SWQ3624"
"Tuesday, June 15, 2021"|112|"SWQ3600"|"N629SW"|"iAero Airways "|"""Swiftflight"""|"KSAT"|"KSAT"|0|135|||||3|"135 men got off the plane"|"https://flightaware.com/live/flight/SWQ3600/history/20210615/"
"Tudsay, June 22, 2021"|113|"SWQ3509"|"N149XA"|"iAero Airways "|"""Swiftflight"""|"KDEN"|"KSAN"|22|0|||||2|"22 men boarded the plane to San Diego"|"https://flightaware.com/live/flight/SWQ3509/history/20210622/"
"Friday, June 25, 2021"|114|"SWQ3580"||"iAero Airways "|"""Swiftflight"""|"KSAT"|"KSAT"|0|113|||||4|"NO notification from Rob; 113 men deplaned and sent toTacoma"|"https://flightaware.com/live/flight/SWQ3580/history/20210625/1300Z/KSAT/KYKM"
